Folder,Script,Description
script,additional\_functions.R,Helper functions to render the main paper.
script,evaluation.py,Python script implementing additional evaluation metrics such as RTA and GS.
script,nldr\_code.R,"Wrapper functions for running multiple NLDR methods (UMAP, tSNE, PHATE, PaCMAP, TriMAP) with different parameters."
two\_nonlinear,01\_gen\_data.R,Generates the 2NC7 dataset.
two\_nonlinear,02\_gen\_true\_model.R,Creates the true structure of 2NC7 data.
two\_nonlinear,03\_gen\_embeddings.R,Computes multiple NLDR embeddings for the 2NC7 data.
two\_nonlinear,04\_gen\_mse\_for\_diff\_methods.R,Computes HBE with varying bin widths ($a_1$) for all NLDR embeddings.
two\_nonlinear,05\_gen\_rm\_lwd\_mse.R,Computes HBE with varying low density bin cutoff for all three binwidth ($a_1$) choices.
two\_nonlinear,06\_gen\_model\_with\_tSNE.R,Fits the model for the layout a.
two\_nonlinear,07\_example\_evaluation\_metrics.R,Calculates evaluation metrics for all NLDR layouts.
two\_nonlinear,08\_gen\_model\_with\_PHATE.R,Fits the model for the layout c.
five\_gau\_clusters,01\_five\_gaussian\_cluster\_data\_emb.R,Generates data and multiple NLDR embeddings.
five\_gau\_clusters,02\_gen\_model\_with\_tSNE.R,Fits the model for the layout a.
five\_gau\_clusters,03\_gen\_model\_with\_UMAP.R,Fits the model for the layout b.
five\_gau\_clusters,04\_gen\_model\_with\_PaCMAP.R,Fits the model for the layout c.
c\_shaped\_dens\_str,01\_gen\_data.R,Generates the $2\text{-}D$ curved sheet dataset.
c\_shaped\_dens\_str,02\_gen\_embeddings\_uni\_dens.R,Generates multiple NLDR embeddings.
c\_shaped\_dens\_str,03\_gen\_model\_with\_tSNE.R,Fits the model for the tSNE layout.
pbmc3k,01\_obtain\_pca\_author.R,Obtains  author\'s PCA results.
pbmc3k,02\_obtain\_umap\_authors.R,Obtains  author\'s UMAP embeddings.
pbmc3k,03\_gen\_umap\_diff\_param.R,Generates multiple UMAP embeddings with different hyper\-parameter values.
pbmc3k,04\_gen\_tsne\_diff\_param.R,Generates multiple tSNE embeddings with different hyper\-parameter values.
pbmc3k,05\_gen\_phate.R,Generates a PHATE embeddings with default hyper\-parameters.
pbmc3k,06\_gen\_trimap.R,Generates a TriMAP embeddings with default hyper\-parameters.
pbmc3k,07\_gen\_pacmap.R,Generates a PaCMAP embeddings with default hyper\-parameters.
pbmc3k,08\_gen\_mse\_for\_diff\_methods.R,Computes HBE with varying bin widths ($a_1$) for all NLDR embeddings.
pbmc3k,09\_gen\_scDEED.R,Generates UMAP embeddings from scDEED results.
pbmc3k,10\_pre\_process\_for\_embedding.R,Generates PBMC3k data used for scDEED results.
pbmc3k,11\_gen\_mse\_for\_diff\_tsne\_scD.R,Computes HBE with varying bin widths ($a_1$) for tSNE embeddings.
pbmc3k,12\_gen\_mse\_for\_diff\_umap\_scD.R,Computes HBE with varying bin widths ($a_1$) for UMAP embeddings.
pbmc3k,13\_gen\_model\_with\_UMAP.R,Fits the model for the layout a.
pbmc3k,14\_gen\_model\_with\_tSNE.R,Fits the model for the layout e.
pbmc3k,15\_gen\_model\_with\_UMAP\_scD.R,Fits the model for the layout a.
pbmc3k,16\_gen\_model\_with\_tSNE\_scD.R,Fits the model for the layout b.
pbmc3k,17\_evaluation\_metrics.R,Calculates evaluation metrics for all NLDR layouts.
pbmc3k,18\_evaluation\_metrics\_scD.R,Calculates evaluation metrics for all NLDR layouts.
mnist,01\_data\_preprocessing.R,Computes first $10$ principal components and save data.
mnist,02\_gen\_diff\_embeddings.R,Generates multiple NLDR embeddings.
mnist,03\_gen\_mse\_for\_diff\_methods.R,Computes HBE with varying bin widths ($a_1$) for all NLDR embeddings.
mnist,04\_gen\_model\_with\_tSNE.R,Fits the model for the layout a.
mnist,05\_evaluation\_metrics.R,Calculates evaluation metrics for all NLDR layouts.
mnist,06\_link\_brush\_layout\_e.R,Creates interactive linked brushing with layout e.
